MSZoning,LotArea,LotShape,Utilities,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,Heating,CentralAir,Electrical,1stFlrSF,2ndFlrSF,Functional,GarageType,GarageArea,PavedDrive,YrSold,SaleType,SaleCondition,SalePrice
RL,11241,IR1,AllPub,1Fam,1Story,6,7,1970,GasA,Y,SBrkr,1004,0,Typ,Attchd,480,Y,2010,WD,Normal,149000
RL,10791,Reg,AllPub,Duplex,1Story,4,5,1967,GasA,Y,SBrkr,1296,0,Typ,CarPort,516,Y,2006,WD,Normal,90000
RL,13695,Reg,AllPub,1Fam,1Story,5,5,2004,GasA,Y,SBrkr,1114,0,Typ,Detchd,576,Y,2008,WD,Normal,159000
RL,7560,Reg,AllPub,1Fam,1Story,5,6,1958,GasA,Y,SBrkr,1339,0,Min1,Attchd,294,Y,2009,COD,Abnorml,139000
RL,14215,IR1,AllPub,1Fam,2Story,8,5,2005,GasA,Y,SBrkr,1158,1218,Typ,BuiltIn,853,Y,2006,New,Partial,325300
RM,7449,Reg,AllPub,1Fam,1.5Unf,7,7,1930,GasA,Y,FuseF,1108,0,Typ,Attchd,280,N,2007,WD,Normal,139400
RL,9742,Reg,AllPub,1Fam,1Story,8,5,2002,GasA,Y,SBrkr,1795,0,Typ,Attchd,534,Y,2008,WD,Normal,230000
RM,4224,Reg,AllPub,TwnhsE,1Story,5,7,1976,GasA,Y,SBrkr,1060,0,Typ,Attchd,572,Y,2007,WD,Normal,129900
RL,8246,IR1,AllPub,1Fam,1Story,5,8,1968,GasA,Y,SBrkr,1060,0,Typ,Attchd,270,Y,2010,WD,Normal,154000
RL,14230,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1600,0,Typ,Attchd,890,Y,2009,WD,Normal,256300
RL,7200,Reg,AllPub,1Fam,1Story,5,7,1951,GasA,Y,SBrkr,900,0,Typ,Detchd,576,Y,2010,WD,Normal,134800
RL,11478,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1704,0,Typ,Attchd,772,Y,2010,WD,Normal,306000
RL,16321,IR1,AllPub,1Fam,1Story,5,6,1957,GasA,Y,SBrkr,1600,0,Typ,Attchd,319,Y,2006,WD,Normal,207500
RM,6324,IR1,AllPub,1Fam,1Story,4,6,1927,GasA,N,SBrkr,520,0,Typ,Detchd,240,Y,2008,WD,Normal,68500
C (all),8500,Reg,AllPub,1Fam,2Story,4,4,1920,GasA,N,SBrkr,649,668,Typ,Detchd,250,N,2008,WD,Normal,40000
RL,8544,IR1,AllPub,1Fam,1Story,5,6,1966,GasA,Y,SBrkr,1228,0,Typ,Attchd,271,Y,2008,WD,Normal,149350
RL,11049,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1234,0,Typ,Attchd,484,Y,2008,WD,Normal,179900
RL,10552,IR1,AllPub,1Fam,1Story,5,5,1959,GasA,Y,SBrkr,1700,0,Typ,Attchd,447,Y,2010,WD,Normal,165500
RL,7313,Reg,AllPub,TwnhsE,1Story,9,5,2005,GasA,Y,SBrkr,1561,0,Typ,Attchd,556,Y,2007,WD,Normal,277500
RL,13418,Reg,AllPub,1Fam,2Story,8,5,2004,GasA,Y,SBrkr,1132,1320,Typ,BuiltIn,691,Y,2006,WD,Normal,309000
RL,10859,Reg,AllPub,1Fam,1Story,5,5,1994,GasA,Y,SBrkr,1097,0,Typ,Attchd,672,Y,2009,WD,Normal,145000
RL,8532,Reg,AllPub,1Fam,1Story,5,6,1954,GasA,Y,SBrkr,1297,0,Typ,Attchd,498,Y,2009,WD,Normal,153000
RL,7922,Reg,AllPub,1Fam,1Story,5,7,1953,GasA,Y,SBrkr,1057,0,Typ,Detchd,246,Y,2010,WD,Abnorml,109000
RL,6040,Reg,AllPub,Duplex,1Story,4,5,1955,GasA,N,FuseP,1152,0,Typ,NA,0,N,2008,WD,AdjLand,82000
RL,8658,Reg,AllPub,1Fam,1Story,6,5,1965,GasA,Y,SBrkr,1324,0,Typ,Attchd,440,Y,2006,WD,Abnorml,160000
RL,16905,Reg,AllPub,1Fam,1Story,5,6,1959,GasA,Y,SBrkr,1328,0,Typ,Attchd,308,P,2007,WD,Normal,170000
RL,9180,IR1,AllPub,1Fam,SFoyer,5,7,1983,GasA,Y,SBrkr,884,0,Typ,Attchd,504,Y,2007,WD,Normal,144000
RL,9200,IR1,AllPub,1Fam,1Story,5,6,1975,GasA,Y,SBrkr,938,0,Typ,Detchd,308,Y,2008,WD,Normal,130250
RL,7945,Reg,AllPub,1Fam,1Story,5,6,1959,GasA,Y,FuseA,1150,0,Typ,Attchd,300,Y,2006,WD,Normal,141000
RL,7658,Reg,AllPub,TwnhsE,1Story,9,5,2005,GasA,Y,SBrkr,1752,0,Typ,Attchd,576,Y,2010,WD,Normal,319900
RL,12822,IR1,AllPub,1Fam,1.5Fin,7,5,2003,GasA,Y,SBrkr,1518,631,Typ,Attchd,670,Y,2009,WD,Abnorml,239686
FV,11096,Reg,AllPub,1Fam,1Story,8,5,2006,GasA,Y,SBrkr,1656,0,Typ,Attchd,826,Y,2007,WD,Normal,249700
RM,4456,Reg,AllPub,2fmCon,2Story,4,5,1920,GasA,Y,SBrkr,736,716,Typ,NA,0,N,2009,New,Partial,113000
RL,7742,Reg,AllPub,1Fam,1Story,5,7,1966,GasA,Y,SBrkr,955,0,Typ,Attchd,386,Y,2007,WD,Normal,127000
RL,13869,IR2,AllPub,1Fam,2Story,6,6,1997,GasA,Y,SBrkr,794,676,Typ,Attchd,388,Y,2007,WD,Normal,177000
RM,6240,Reg,AllPub,1Fam,1.5Fin,6,6,1934,GasA,Y,SBrkr,816,0,Typ,Detchd,528,Y,2006,WD,Normal,114500
RM,8472,IR2,AllPub,Duplex,1Story,5,5,1963,GasA,N,SBrkr,816,0,Typ,CarPort,516,Y,2010,WD,Normal,110000
RL,50271,IR1,AllPub,1Fam,1Story,9,5,1981,GasA,Y,SBrkr,1842,0,Typ,Attchd,894,Y,2006,WD,Normal,385000
RL,7134,Reg,AllPub,1Fam,SLvl,5,5,1955,GasA,Y,SBrkr,1360,0,Min1,Detchd,572,Y,2007,WD,Normal,130000
RL,10175,IR1,AllPub,1Fam,1Story,6,5,1964,GasA,Y,SBrkr,1425,0,Typ,Attchd,576,Y,2008,WD,Normal,180500
FV,2645,Reg,AllPub,Twnhs,2Story,8,5,1999,GasA,Y,SBrkr,983,756,Typ,Attchd,480,Y,2009,WD,Abnorml,172500
RL,11645,IR1,AllPub,1Fam,2Story,7,5,2004,GasA,Y,SBrkr,860,860,Typ,Attchd,565,Y,2006,WD,Normal,196500
RL,13682,IR2,AllPub,1Fam,2Story,10,5,2006,GasA,Y,SBrkr,1426,1519,Typ,BuiltIn,641,Y,2006,New,Partial,438780
RL,7200,Reg,AllPub,1Fam,1Story,5,7,1972,GasA,Y,SBrkr,780,0,Typ,Detchd,352,Y,2008,WD,Normal,124900
RL,13072,Reg,AllPub,1Fam,1Story,6,5,2004,GasA,Y,SBrkr,1158,0,Typ,Detchd,576,Y,2006,New,Partial,158000
RM,7200,Reg,AllPub,1Fam,2.5Unf,5,7,1920,GasA,N,SBrkr,581,530,Typ,Detchd,288,N,2007,WD,Normal,101000
RL,6442,IR1,AllPub,TwnhsE,1Story,8,5,2006,GasA,Y,SBrkr,1370,0,Typ,Attchd,484,Y,2007,WD,Normal,202500
RM,10300,IR1,AllPub,1Fam,2Story,7,6,1921,GasA,Y,SBrkr,902,808,Typ,Detchd,480,Y,2010,WD,Normal,140000
RL,9375,Reg,AllPub,1Fam,2Story,7,5,1997,GasA,Y,SBrkr,1057,977,Typ,Attchd,645,Y,2009,WD,Normal,219500
RL,9591,Reg,AllPub,1Fam,2Story,8,5,2004,GasA,Y,SBrkr,1143,1330,Typ,BuiltIn,852,Y,2007,WD,Normal,317000
RL,19900,Reg,AllPub,1Fam,1Story,7,5,1970,GasA,Y,SBrkr,2207,0,Min1,Attchd,576,Y,2010,WD,Normal,180000
RL,10665,IR1,AllPub,1Fam,1Story,7,5,2003,GasA,Y,SBrkr,1479,0,Typ,Attchd,558,Y,2007,WD,Normal,226000
RM,4608,Reg,AllPub,1Fam,1Story,4,6,1945,GasA,Y,SBrkr,747,0,Typ,Attchd,220,Y,2010,WD,Normal,80000
RL,15593,Reg,AllPub,1Fam,1.5Fin,7,4,1953,GasW,Y,SBrkr,1304,983,Typ,Attchd,667,Y,2006,WD,Normal,225000
RL,13651,IR1,AllPub,1Fam,1Story,7,6,1973,GasA,Y,SBrkr,2223,0,Typ,Attchd,516,Y,2007,WD,Normal,244000
RL,7599,Reg,AllPub,1Fam,1Story,4,6,1982,GasA,Y,SBrkr,845,0,Typ,Detchd,360,Y,2007,WD,Normal,129500
RL,10141,IR1,AllPub,1Fam,2Story,7,5,1998,GasA,Y,SBrkr,885,833,Typ,Attchd,427,Y,2009,WD,Normal,185000
RL,10200,Reg,AllPub,1Fam,1Story,5,7,1954,GasA,Y,SBrkr,1086,0,Typ,Attchd,490,Y,2010,WD,Normal,144900
RM,5790,Reg,AllPub,1Fam,2Story,3,6,1915,GasA,N,SBrkr,840,765,Typ,Detchd,379,Y,2010,WD,Normal,107400
RM,1596,Reg,AllPub,Twnhs,SLvl,4,5,1973,GasA,Y,SBrkr,526,462,Typ,BuiltIn,297,Y,2009,WD,Normal,91000
RL,8475,IR1,AllPub,1Fam,1Story,4,7,1956,GasA,Y,FuseA,952,0,Typ,Detchd,283,Y,2008,WD,Normal,135750
RM,8635,Reg,AllPub,1Fam,1.5Fin,5,5,1948,GasA,Y,SBrkr,1072,213,Min1,Detchd,240,Y,2008,WD,Normal,127000
RL,10778,Reg,AllPub,Duplex,1Story,4,5,1968,GasA,N,SBrkr,1768,0,Typ,NA,0,Y,2010,WD,Normal,136500
RM,10440,Reg,AllPub,1Fam,2Story,5,6,1910,GasA,Y,SBrkr,682,548,Typ,Detchd,440,Y,2009,WD,Normal,110000
RL,13000,Reg,AllPub,1Fam,2Story,6,6,1968,GasA,Y,SBrkr,1182,960,Typ,Attchd,509,Y,2009,WD,Normal,193500
RM,4500,Reg,AllPub,TwnhsE,1Story,6,5,1998,GasA,Y,SBrkr,1337,0,Typ,Attchd,405,Y,2006,WD,Normal,153500
RL,10206,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1563,0,Typ,Attchd,758,Y,2008,WD,Normal,245000
RL,8892,IR1,AllPub,1Fam,1Story,5,5,1960,GasA,Y,SBrkr,1065,0,Typ,Detchd,461,Y,2007,COD,Normal,126500
RL,8530,IR1,AllPub,1Fam,SLvl,7,5,1995,GasA,Y,SBrkr,804,670,Typ,BuiltIn,400,Y,2009,WD,Normal,168500
RL,16059,Reg,AllPub,1Fam,2Story,8,5,1991,GasA,Y,SBrkr,1301,1116,Typ,Attchd,462,Y,2006,WD,Normal,260000
RL,11911,IR2,AllPub,1Fam,2Story,6,5,2005,GasA,Y,SBrkr,684,876,Typ,BuiltIn,400,Y,2009,WD,Normal,174000
FV,3951,Reg,AllPub,TwnhsE,2Story,6,5,2009,GasA,Y,SBrkr,612,612,Typ,Detchd,528,Y,2009,New,Partial,164500
C (all),8470,IR1,AllPub,1Fam,1.5Fin,3,2,1915,GasA,N,SBrkr,1013,0,Typ,NA,0,N,2009,ConLD,Abnorml,85000
RL,8070,Reg,AllPub,1Fam,1Story,4,5,1994,GasA,Y,SBrkr,990,0,Typ,NA,0,Y,2007,WD,Normal,123600
RL,7200,Reg,AllPub,1Fam,1Story,4,5,1950,GasA,Y,FuseA,1040,0,Typ,Detchd,420,Y,2006,WD,Normal,109900
RL,8500,Reg,AllPub,1Fam,1Story,5,3,1961,GasA,Y,SBrkr,1235,0,Typ,Attchd,480,Y,2006,WD,Abnorml,98600
RL,13360,IR1,AllPub,1Fam,1Story,5,7,1921,GasA,Y,SBrkr,964,0,Typ,Detchd,432,Y,2009,WD,Normal,163500
C (all),7200,Reg,AllPub,2fmCon,2.5Unf,6,6,1910,GasW,N,SBrkr,1260,1031,Typ,Detchd,506,Y,2007,WD,Normal,133900
RL,9337,IR1,AllPub,1Fam,2Story,6,5,1997,GasA,Y,SBrkr,905,881,Typ,Attchd,684,Y,2007,WD,Normal,204750
RL,9765,IR2,AllPub,1Fam,2Story,6,8,1993,GasA,Y,SBrkr,680,790,Typ,BuiltIn,420,Y,2009,WD,Normal,185000
RL,10264,IR1,AllPub,1Fam,1Story,7,5,1999,GasA,Y,SBrkr,1588,0,Typ,Attchd,472,Y,2006,WD,Normal,214000
RL,10921,Reg,AllPub,1Fam,1Story,4,5,1965,GasA,Y,FuseF,960,0,Typ,Attchd,432,P,2007,WD,Normal,94750
RL,10625,Reg,AllPub,1Fam,1Story,5,5,1920,GasA,N,SBrkr,835,0,Typ,Basment,366,Y,2010,COD,Abnorml,83000
RL,9320,IR1,AllPub,1Fam,1Story,4,5,1959,GasA,Y,SBrkr,1225,0,Typ,NA,0,Y,2010,WD,Normal,128950
RL,10603,IR1,AllPub,1Fam,1Story,6,7,1977,GasA,Y,SBrkr,1610,0,Typ,Attchd,480,Y,2010,WD,Normal,205000
RL,9206,Reg,AllPub,1Fam,2Story,6,5,1985,GasA,Y,SBrkr,977,755,Typ,Attchd,476,Y,2010,WD,Normal,178000
RL,7018,Reg,AllPub,Duplex,1Story,5,5,1979,GasA,Y,SBrkr,1535,0,Typ,Attchd,410,Y,2009,WD,Alloca,118964
RL,10402,IR1,AllPub,1Fam,1Story,7,5,2009,GasA,Y,SBrkr,1226,0,Typ,Attchd,740,Y,2010,WD,Normal,198900
RM,7758,Reg,AllPub,1Fam,1.5Fin,7,4,1931,GasA,Y,FuseF,1226,592,Typ,Detchd,240,Y,2007,WD,Normal,169500
FV,9375,Reg,AllPub,1Fam,2Story,8,5,2003,GasA,Y,SBrkr,1053,939,Typ,Attchd,648,Y,2008,WD,Normal,250000
RM,10800,Reg,AllPub,1Fam,1Story,4,7,1885,GasA,Y,SBrkr,1047,0,Typ,Detchd,273,N,2007,WD,Normal,100000
RM,6000,Reg,AllPub,1Fam,1Story,5,5,1948,GasA,Y,SBrkr,789,0,Typ,Detchd,250,Y,2008,WD,Partial,115000
RM,8500,Reg,AllPub,1Fam,1.5Fin,5,7,1919,GasW,N,FuseF,997,520,Typ,NA,0,N,2007,WD,Normal,115000
RL,11751,IR1,AllPub,1Fam,1Story,6,6,1977,GasA,Y,SBrkr,1844,0,Typ,Attchd,546,Y,2010,COD,Normal,190000
RL,9525,Reg,AllPub,1Fam,1.5Fin,6,4,1954,GasA,Y,SBrkr,1216,639,Typ,Attchd,325,Y,2006,WD,Normal,136900
RL,7750,IR1,AllPub,1Fam,SLvl,7,5,2000,GasA,Y,SBrkr,774,656,Typ,BuiltIn,400,Y,2010,WD,Normal,180000
RL,9965,Reg,AllPub,1Fam,2Story,7,5,2007,GasA,Y,SBrkr,1282,1414,Typ,BuiltIn,792,Y,2007,New,Partial,383970
RL,21000,Reg,AllPub,1Fam,1Story,6,5,1953,GasA,Y,SBrkr,2259,0,Typ,Basment,450,Y,2007,COD,Abnorml,217000
RL,7259,IR1,AllPub,1Fam,2Story,6,8,1945,GasA,Y,SBrkr,1436,884,Typ,Detchd,180,Y,2007,WD,Normal,259500
FV,3230,Reg,AllPub,TwnhsE,2Story,6,5,1999,GasA,Y,SBrkr,729,729,Typ,Detchd,440,Y,2007,WD,Normal,176000
RL,11616,Reg,AllPub,1Fam,1Story,5,5,1962,GasA,Y,SBrkr,1092,0,Typ,Attchd,288,Y,2009,WD,Normal,139000
RL,8536,Reg,AllPub,1Fam,1Story,5,5,2006,GasA,Y,SBrkr,1125,0,Typ,Attchd,430,Y,2007,New,Partial,155000
RL,12376,Reg,AllPub,1Fam,2Story,7,5,1990,GasA,Y,SBrkr,1699,1523,Typ,Attchd,594,Y,2010,WD,Normal,320000
RL,8461,Reg,AllPub,1Fam,2Story,6,5,2005,GasA,Y,SBrkr,728,728,Typ,Attchd,390,Y,2006,New,Partial,163990
RL,21453,IR1,AllPub,1Fam,SLvl,6,5,1969,GasA,Y,SBrkr,988,0,Typ,Attchd,540,Y,2006,WD,Normal,180000
RM,6060,Reg,AllPub,1Fam,1.5Fin,4,5,1939,GasA,Y,SBrkr,772,351,Typ,Detchd,264,P,2007,WD,Normal,100000
RL,9464,Reg,AllPub,1Fam,1Story,6,7,1958,GasA,Y,SBrkr,1080,0,Typ,Attchd,288,Y,2008,WD,Normal,136000
RL,7892,Reg,AllPub,TwnhsE,1Story,6,5,1993,GasA,Y,SBrkr,1199,0,Typ,Attchd,530,Y,2008,WD,Normal,153900
RL,17043,IR1,AllPub,1Fam,1Story,6,5,1979,GasA,Y,SBrkr,1586,0,Typ,Attchd,435,Y,2009,WD,Normal,181000
RM,6780,Reg,AllPub,2fmCon,1.5Fin,6,8,1935,GasA,N,SBrkr,520,0,Typ,NA,0,N,2006,WD,Normal,84500
RL,4928,IR1,AllPub,TwnhsE,1Story,6,5,1976,GasA,Y,SBrkr,958,0,Typ,Attchd,440,Y,2007,WD,Normal,128000
RM,4388,IR1,AllPub,1Fam,1.5Unf,5,7,1930,GasA,Y,SBrkr,840,0,Typ,NA,0,N,2007,WD,Normal,87000
RL,7590,Reg,AllPub,1Fam,2Story,6,5,1966,GasA,Y,SBrkr,660,688,Typ,Attchd,453,Y,2006,WD,Normal,155000
RL,8973,Reg,AllPub,1Fam,1Story,5,7,1958,GasA,Y,FuseA,1053,0,Typ,2Types,750,Y,2006,WD,Abnorml,150000
RL,14200,Reg,AllPub,1Fam,2Story,7,6,1966,GasA,Y,SBrkr,1216,941,Typ,Attchd,487,Y,2006,WD,Normal,226000
RL,12224,IR1,AllPub,1Fam,2Story,6,5,2000,GasA,Y,SBrkr,1022,1032,Typ,BuiltIn,390,Y,2009,WD,Normal,244000
RL,7388,Reg,AllPub,1Fam,1Story,5,6,1959,GasA,Y,SBrkr,1327,0,Typ,Detchd,624,Y,2007,WD,Normal,150750
RL,6853,IR1,AllPub,1Fam,1Story,8,5,2001,GasA,Y,SBrkr,1296,0,Typ,Attchd,471,Y,2009,WD,Normal,220000
RL,10335,IR1,AllPub,1Fam,1Story,5,6,1968,GasA,Y,SBrkr,1721,0,Min1,Attchd,440,Y,2006,WD,Normal,180000
RL,10400,Reg,AllPub,1Fam,1Story,7,6,1970,GasA,Y,SBrkr,1682,0,Typ,Attchd,530,Y,2008,WD,Normal,174000
RL,10355,IR1,AllPub,1Fam,1Story,5,5,1967,GasA,Y,SBrkr,1214,0,Typ,Attchd,318,Y,2007,WD,Normal,143000
RL,11070,Reg,AllPub,Duplex,1Story,7,5,1988,GasA,Y,SBrkr,1959,0,Typ,2Types,766,Y,2006,WD,Family,171000
RL,9066,IR1,AllPub,1Fam,2Story,8,5,1999,GasA,Y,SBrkr,1004,848,Typ,Attchd,660,Y,2008,WD,Normal,230000
RL,15426,IR1,AllPub,1Fam,2Story,6,5,1997,GasA,Y,SBrkr,928,836,Typ,Attchd,470,Y,2009,WD,Normal,231500
RL,10500,Reg,AllPub,1Fam,1Story,4,5,1971,GasA,Y,SBrkr,864,0,Typ,NA,0,Y,2010,ConLI,Normal,115000
RL,11645,Reg,AllPub,1Fam,1Story,7,5,2005,GasA,Y,SBrkr,1734,0,Typ,Attchd,660,Y,2006,WD,Normal,260000
RL,8520,Reg,AllPub,1Fam,1.5Fin,5,4,1952,GasA,Y,SBrkr,910,475,Typ,Detchd,720,Y,2010,WD,Normal,166000
RL,10335,IR1,AllPub,1Fam,1Story,7,5,1999,GasA,Y,SBrkr,1501,0,Typ,Attchd,577,Y,2009,WD,Normal,204000
RM,9100,Reg,AllPub,Duplex,1Story,5,5,1963,GasA,Y,SBrkr,1728,0,Typ,Detchd,504,Y,2006,ConLI,Abnorml,125000
RM,2522,Reg,AllPub,Twnhs,2Story,6,5,2004,GasA,Y,SBrkr,970,739,Maj1,Detchd,380,Y,2006,WD,Normal,130000
RM,6120,Reg,AllPub,1Fam,1Story,5,7,1931,GasA,Y,FuseA,875,0,Typ,Detchd,180,Y,2009,WD,Normal,105000
RL,9505,IR1,AllPub,1Fam,2Story,7,5,2001,GasA,Y,SBrkr,884,1151,Typ,BuiltIn,434,Y,2010,WD,Normal,222500
RL,7500,Reg,AllPub,1Fam,1Story,7,5,2004,GasA,Y,SBrkr,1080,0,Typ,NA,0,Y,2008,WD,Normal,141000
RM,6240,Reg,AllPub,1Fam,1.5Fin,5,4,1936,GasA,Y,FuseA,896,448,Typ,Detchd,240,Y,2006,WD,Normal,115000
RL,10356,Reg,AllPub,1Fam,1Story,5,6,1975,GasA,Y,SBrkr,969,0,Typ,Attchd,440,Y,2007,WD,Normal,122000
RL,13891,Reg,AllPub,1Fam,1Story,8,5,2007,GasA,Y,SBrkr,1710,0,Typ,Attchd,866,Y,2008,New,Partial,372402
RL,14803,IR1,AllPub,1Fam,2Story,6,5,1971,GasA,Y,SBrkr,1097,896,Typ,Attchd,495,Y,2006,WD,Normal,190000
RL,13500,Reg,AllPub,1Fam,1Story,6,7,1960,GasA,Y,SBrkr,1252,0,Typ,Attchd,564,Y,2008,WD,Normal,235000
RM,11340,Reg,AllPub,1Fam,1Story,6,5,1923,GasA,Y,FuseA,1200,0,Typ,Detchd,312,Y,2006,WD,Family,125000
RL,9600,Reg,AllPub,1Fam,1.5Fin,6,5,1924,Grav,N,FuseF,572,524,Typ,NA,0,N,2008,WD,Normal,79000
RL,7200,Reg,AllPub,1Fam,1Story,5,7,1950,GasA,Y,FuseF,1040,0,Typ,Detchd,625,Y,2006,WD,Normal,109500
RL,12003,Reg,AllPub,1Fam,2Story,8,5,2009,GasA,Y,SBrkr,774,1194,Typ,BuiltIn,680,Y,2010,New,Partial,269500
FV,12552,Reg,AllPub,1Fam,2Story,7,5,2004,GasA,Y,SBrkr,991,956,Typ,Attchd,678,Y,2010,WD,Normal,254900
RL,19378,IR1,AllPub,1Fam,2Story,7,5,2005,GasA,Y,SBrkr,1392,1070,Typ,Attchd,576,Y,2006,New,Partial,320000
RL,11120,IR1,AllPub,1Fam,1Story,6,6,1984,GasA,Y,SBrkr,1232,0,Typ,Attchd,516,Y,2008,WD,Normal,162500
RL,13688,IR1,AllPub,1Fam,2Story,9,5,2003,GasA,Y,SBrkr,1572,1096,Typ,BuiltIn,726,Y,2008,WD,Normal,412500
RL,12182,Reg,AllPub,1Fam,1Story,7,5,2005,GasA,Y,SBrkr,1541,0,Typ,Attchd,532,Y,2010,New,Partial,220000
RL,5500,Reg,AllPub,1Fam,1.5Unf,4,6,1956,GasA,Y,SBrkr,882,0,Typ,NA,0,Y,2007,WD,Normal,103200
RM,5400,Reg,AllPub,1Fam,1Story,6,7,1926,GasA,Y,FuseA,1149,467,Typ,Detchd,216,Y,2007,WD,Normal,152000
RL,10106,Reg,AllPub,2fmCon,1.5Fin,5,7,1940,GasA,Y,SBrkr,808,547,Typ,NA,0,Y,2008,WD,Normal,127500
RL,10708,IR1,AllPub,1Fam,1Story,5,5,1955,GasA,Y,FuseA,1867,0,Typ,Attchd,303,Y,2009,COD,Normal,190000
RL,10562,Reg,AllPub,1Fam,2Story,8,5,2007,GasA,Y,SBrkr,1610,551,Typ,Attchd,789,Y,2007,New,Partial,325624
RL,8244,IR1,AllPub,1Fam,2Story,7,5,2004,GasA,Y,SBrkr,840,880,Typ,Attchd,440,Y,2007,WD,Normal,183500
RL,16669,IR1,AllPub,1Fam,1Story,8,6,1981,GasA,Y,SBrkr,1707,0,Typ,Attchd,511,Y,2006,WD,Normal,228000
RM,12358,IR1,AllPub,1Fam,1.5Fin,5,6,1941,GasA,Y,SBrkr,854,0,Typ,Detchd,660,Y,2007,WD,Normal,128500
RL,31770,IR1,AllPub,1Fam,1Story,6,5,1960,GasA,Y,SBrkr,1656,0,Typ,Attchd,528,P,2010,WD,Normal,215000
RL,5306,IR1,AllPub,TwnhsE,2Story,7,7,1987,GasA,Y,SBrkr,1064,703,Typ,Attchd,504,Y,2006,WD,Normal,239000
RL,10197,IR1,AllPub,1Fam,1Story,6,5,1961,GasA,Y,SBrkr,1362,0,Typ,Attchd,504,Y,2008,COD,Normal,163000
RL,12416,IR1,AllPub,1Fam,1Story,6,5,1986,GasA,Y,SBrkr,1651,0,Min2,Attchd,616,Y,2008,WD,Normal,184000
RL,12615,Reg,AllPub,1Fam,1Story,6,7,1950,GasA,Y,SBrkr,2158,0,Typ,Attchd,576,Y,2007,WD,Normal,243000
RL,10029,IR1,AllPub,1Fam,2Story,6,5,1988,GasA,Y,SBrkr,1164,896,Typ,Attchd,521,Y,2007,WD,Normal,211000
RL,13650,Reg,AllPub,1Fam,1.5Fin,5,5,1958,GasA,Y,SBrkr,1252,668,Typ,Attchd,451,Y,2006,WD,Normal,172500
RL,17423,IR1,AllPub,1Fam,1Story,9,5,2008,GasA,Y,SBrkr,2234,0,Typ,Attchd,1166,Y,2009,New,Partial,501837
RM,8520,Reg,AllPub,1Fam,1Story,5,6,1923,GasA,Y,SBrkr,968,0,Typ,Detchd,480,N,2007,WD,Normal,100000
